customer_city,customer_state,orders,total_revenue,pct_of_total_revenue,cumulative_pct_revenue,revenue_rank
sao paulo,SP,15045,1859556.83,14.06,14.06,1
rio de janeiro,RJ,6601,955573.97,7.23,21.29,2
belo horizonte,MG,2697,346039.04,2.62,23.91,3
brasilia,DF,2071,295814.72,2.24,26.15,4
curitiba,PR,1489,205999.33,1.56,27.7,5
campinas,SP,1406,184657.87,1.4,29.1,6
porto alegre,RS,1342,182319.55,1.38,30.48,7
salvador,BA,1188,173273.05,1.31,31.79,8
guarulhos,SP,1144,139008.19,1.05,32.84,9
niteroi,RJ,825,115890.26,0.88,33.72,10
sao bernardo do campo,SP,911,102514.23,0.78,34.49,11
santos,SP,700,98349.4,0.74,35.24,12
goiania,GO,660,96547.85,0.73,35.97,13
fortaleza,CE,618,93269.67,0.71,36.67,14
santo andre,SP,777,89380.83,0.68,37.35,15
recife,PE,593,85186.33,0.64,37.99,16
florianopolis,SC,556,84043.85,0.64,38.63,17
osasco,SP,724,80820.34,0.61,39.24,18
jundiai,SP,549,80398.04,0.61,39.85,19
belem,PA,428,78002.75,0.59,40.44,20
sao jose dos campos,SP,667,75425.31,0.57,41.01,21
sorocaba,SP,609,74638.18,0.56,41.57,22
ribeirao preto,SP,499,64672.27,0.49,42.06,23
juiz de fora,MG,423,64456.78,0.49,42.55,24
nova iguacu,RJ,423,58217.83,0.44,42.99,25
campo grande,MS,312,56513.68,0.43,43.42,26
vitoria,ES,373,52038.6,0.39,43.81,27
joao pessoa,PB,245,51502.15,0.39,44.2,28
sao goncalo,RJ,385,50833.27,0.38,44.59,29
mogi das cruzes,SP,374,50295.68,0.38,44.97,30
sao luis,MA,335,50141.82,0.38,45.35,31
barueri,SP,419,49995.71,0.38,45.72,32
piracicaba,SP,356,49173.47,0.37,46.1,33
teresina,PI,271,49028.57,0.37,46.47,34
contagem,MG,415,48561.04,0.37,46.83,35
uberlandia,MG,367,47560.57,0.36,47.19,36
vila velha,ES,326,46895.83,0.35,47.55,37
sao jose do rio preto,SP,329,46669.73,0.35,47.9,38
londrina,PR,298,45867.97,0.35,48.25,39
maceio,AL,236,43592.59,0.33,48.58,40
maua,SP,317,43360.96,0.33,48.91,41
bauru,SP,263,38903.69,0.29,49.2,42
praia grande,SP,296,38303.17,0.29,49.49,43
cuiaba,MT,243,38178.84,0.29,49.78,44
maringa,PR,260,37299.2,0.28,50.06,45
indaiatuba,SP,274,36862.6,0.28,50.34,46
caxias do sul,RS,220,36033.19,0.27,50.61,47
natal,RN,203,35751.38,0.27,50.88,48
serra,ES,278,35184.07,0.27,51.15,49
divinopolis,MG,132,34932.97,0.26,51.41,50
